Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
8058,18.38,39.44%,0.0076,0.0845950528
8058 Sum,,,,0.0845950528
8059,6.87,35.55%,0.0004,0.001771086
8059 Sum,,,,0.001771086
8060,22.94,26.90%,0.0046,0.077138044
8060 Sum,,,,0.077138044
8061,9.17,38.51%,0.002,0.011277266
8061 Sum,,,,0.011277266
8062,11.72,32.93%,0.0083,0.0652430132
8062 Sum,,,,0.0652430132
8063,5.31,21.25%,0.0028,0.01170855
8063 Sum,,,,0.01170855
8064,23.03,31.08%,0.0075,0.11904207
8064 Sum,,,,0.11904207
8065,19.48,37.80%,0.0007,0.008481592
8065 Sum,,,,0.008481592
8066,7.75,18.66%,0.0077,0.048539645
8066 Sum,,,,0.048539645
8067,5.59,15.65%,0.0033,0.0155600445
8067 Sum,,,,0.0155600445
8068,17.03,30.03%,0.006,0.071495346
8068 Sum,,,,0.071495346
8069,2.04,3.01%,0.0031,0.0061336476
8069 Sum,,,,0.0061336476
8070,11.37,10.90%,0.0076,0.076993092
8070 Sum,,,,0.076993092
8071,20.62,35.34%,0.0005,0.006666446
8071 Sum,,,,0.006666446
8072,19,37.82%,0.0038,0.04489396
8072 Sum,,,,0.04489396
8073,19.25,33.72%,0.0045,0.05741505
8073 Sum,,,,0.05741505
8074,2.39,28.41%,0.0051,0.0087261051
8074 Sum,,,,0.0087261051
8075,20.17,32.88%,0.0063,0.0852900552
8075 Sum,,,,0.0852900552
8076,16.25,35.44%,0.0015,0.0157365
8076 Sum,,,,0.0157365
8077,2.38,12.03%,0.0072,0.0150745392
8077 Sum,,,,0.0150745392
8078,6.34,14.71%,0.0038,0.0205480668
8078 Sum,,,,0.0205480668
8079,4.63,7.63%,0.0002,0.0008553462
8079 Sum,,,,0.0008553462
8080,3.74,25.41%,0.0006,0.0016737996
8080 Sum,,,,0.0016737996
8081,12.79,3.49%,0.0005,0.0061718145
8081 Sum,,,,0.0061718145
8082,7.35,7.25%,0.0027,0.0184062375
8082 Sum,,,,0.0184062375
8083,21.67,13.59%,0.0066,0.1235853102
8083 Sum,,,,0.1235853102
8084,2.26,12.60%,0.0044,0.008691056
8084 Sum,,,,0.008691056
8085,18.25,20.44%,0.0016,0.02323152
8085 Sum,,,,0.02323152
8086,0.34,25.52%,0.0055,0.001392776
8086 Sum,,,,0.001392776
8087,10.49,29.82%,0.0051,0.0375455982
8087 Sum,,,,0.0375455982
8088,9.23,18.09%,0.0035,0.0264610255
8088 Sum,,,,0.0264610255
8089,23.55,7.79%,0.0024,0.052117092
8089 Sum,,,,0.052117092
8090,24.75,4.91%,0.0018,0.042362595
8090 Sum,,,,0.042362595
8091,8.52,16.51%,0.006,0.042680088
8091 Sum,,,,0.042680088
8092,11.16,30.34%,0.0006,0.0046644336
8092 Sum,,,,0.0046644336
8093,17.48,31.70%,0.0015,0.01790826
8093 Sum,,,,0.01790826
8094,11.31,23.51%,0.009,0.077859171
8094 Sum,,,,0.077859171
8095,24.52,18.93%,0.0049,0.0974039836
8095 Sum,,,,0.0974039836
8096,14.01,9.15%,0.0064,0.081459744
8096 Sum,,,,0.081459744
8097,15.32,24.76%,0.0095,0.109504296
8097 Sum,,,,0.109504296
8098,14.03,36.99%,0.0076,0.0671863028
8098 Sum,,,,0.0671863028
8099,20.07,17.31%,0.0031,0.0514472373
8099 Sum,,,,0.0514472373
8100,15.91,12.38%,0.0089,0.1240690438
8100 Sum,,,,0.1240690438
8101,12.13,19.15%,0.0041,0.0402091305
8101 Sum,,,,0.0402091305
8102,16.88,13.09%,0.0056,0.0821542848
8102 Sum,,,,0.0821542848
8103,16.48,19.57%,0.0077,0.1020624528
8103 Sum,,,,0.1020624528
8104,5.17,13.46%,0.0086,0.0384774148
8104 Sum,,,,0.0384774148
8105,13.41,28.61%,0.0073,0.0698858127
8105 Sum,,,,0.0698858127
8106,17.18,26.96%,0.0032,0.0401544704
8106 Sum,,,,0.0401544704
8107,8.69,2.21%,0.0043,0.0365411893
8107 Sum,,,,0.0365411893
8108,18.19,23.06%,0.0046,0.0643787756
8108 Sum,,,,0.0643787756
8109,17.46,24.84%,0.0052,0.0682392672
8109 Sum,,,,0.0682392672
8110,15.74,9.10%,0.0054,0.077261364
8110 Sum,,,,0.077261364
8111,11.75,4.71%,0.002,0.02239315
8111 Sum,,,,0.02239315
8112,10.08,9.15%,0.0073,0.066851064
8112 Sum,,,,0.066851064
8113,2.25,35.59%,0.0002,0.000289845
8113 Sum,,,,0.000289845
8114,20.22,21.85%,0.0059,0.093231387
8114 Sum,,,,0.093231387
8115,10.25,15.73%,0.0033,0.0285043275
8115 Sum,,,,0.0285043275
8116,22.14,18.08%,0.0079,0.1432829952
8116 Sum,,,,0.1432829952
8117,12.21,24.64%,0.0027,0.0248439312
8117 Sum,,,,0.0248439312
8118,7.69,30.86%,0.0052,0.0276477032
8118 Sum,,,,0.0276477032
8119,23.54,25.22%,0.0051,0.0897763812
8119 Sum,,,,0.0897763812
8120,2.12,8.59%,0.0072,0.0139528224
8120 Sum,,,,0.0139528224
8121,5.36,34.73%,0.0087,0.0304367064
8121 Sum,,,,0.0304367064
8122,8.63,8.88%,0.0079,0.0621228824
8122 Sum,,,,0.0621228824
8123,10.55,7.45%,0.0017,0.0165988425
8123 Sum,,,,0.0165988425
8124,21.8,7.15%,0.0015,0.03036195
8124 Sum,,,,0.03036195
8125,7.77,20.49%,0.0098,0.0605436846
8125 Sum,,,,0.0605436846
8126,24.68,9.60%,0.0045,0.10039824
8126 Sum,,,,0.10039824
8127,16.02,6.07%,0.0006,0.0090285516
8127 Sum,,,,0.0090285516
8128,16.96,13.86%,0.0029,0.0423670976
8128 Sum,,,,0.0423670976
8129,11.42,15.83%,0.0033,0.0317203062
8129 Sum,,,,0.0317203062
8130,6.53,19.67%,0.0041,0.0215067509
8130 Sum,,,,0.0215067509
8131,10.22,10.28%,0.0061,0.0559332424
8131 Sum,,,,0.0559332424
8132,24.04,39.81%,0.0059,0.0853710884
8132 Sum,,,,0.0853710884
8133,11.05,7.93%,0.0082,0.083424627
8133 Sum,,,,0.083424627
8134,4.78,8.86%,0.0001,0.0004356492
8134 Sum,,,,0.0004356492
8135,5.78,13.80%,0.0008,0.003985888
8135 Sum,,,,0.003985888
8136,11.37,9.08%,0.0058,0.0599581032
8136 Sum,,,,0.0599581032
8137,1.79,2.51%,0.0061,0.0106449331
8137 Sum,,,,0.0106449331
8138,9.63,9.03%,0.0006,0.0052562466
8138 Sum,,,,0.0052562466
8139,15.07,39.42%,0.0025,0.022823515
8139 Sum,,,,0.022823515
8140,3.58,22.27%,0.0022,0.0061220148
8140 Sum,,,,0.0061220148
8141,8.42,36.26%,0.0094,0.0504489352
8141 Sum,,,,0.0504489352
8142,18.49,30.68%,0.0003,0.0038451804
8142 Sum,,,,0.0038451804
8143,24.33,14.70%,0.0061,0.126596289
8143 Sum,,,,0.126596289
8144,18.34,3.82%,0.0027,0.0476264124
8144 Sum,,,,0.0476264124
8145,0.5,19.67%,0.0059,0.002369735
8145 Sum,,,,0.002369735
8146,10.92,28.41%,0.0079,0.0617592612
8146 Sum,,,,0.0617592612
8147,15.8,9.22%,0.0025,0.0358581
8147 Sum,,,,0.0358581
8148,18.14,38.50%,0.0002,0.00223122
8148 Sum,,,,0.00223122
8149,23.77,16.76%,0.0009,0.0178075332
8149 Sum,,,,0.0178075332
8150,12.9,26.38%,0.0095,0.09022131
8150 Sum,,,,0.09022131
8151,8.97,37.90%,0.0081,0.045119997
8151 Sum,,,,0.045119997
8152,0.13,20.79%,0.0061,0.0006281353
8152 Sum,,,,0.0006281353
8153,18.84,11.09%,0.0047,0.0787280268
8153 Sum,,,,0.0787280268
8154,16.29,30.61%,0.0027,0.0305198037
8154 Sum,,,,0.0305198037
8155,21.09,36.01%,0.0086,0.1160612226
8155 Sum,,,,0.1160612226
8156,1.08,21.23%,0.0088,0.0074863008
8156 Sum,,,,0.0074863008
8157,0.5,25.47%,0.003,0.00111795
8157 Sum,,,,0.00111795
8158,24.81,38.82%,0.0016,0.0242860128
8158 Sum,,,,0.0242860128
8159,18.57,25.92%,0.0064,0.0880425984
8159 Sum,,,,0.0880425984
8160,12.67,19.42%,0.0033,0.0336913038
8160 Sum,,,,0.0336913038
8161,22.89,2.71%,0.0052,0.1158023412
8161 Sum,,,,0.1158023412
8162,22.23,5.03%,0.0041,0.0865585071
8162 Sum,,,,0.0865585071
8163,5.35,1.31%,0.0076,0.040127354
8163 Sum,,,,0.040127354
8164,6.62,10.45%,0.0072,0.042683112
8164 Sum,,,,0.042683112
8165,12.29,30.76%,0.0069,0.0587162124
8165 Sum,,,,0.0587162124
8166,20.43,4.32%,0.0071,0.1387867104
8166 Sum,,,,0.1387867104
8167,7.21,26.85%,0.0042,0.022151283
8167 Sum,,,,0.022151283
8168,24.94,26.32%,0.0055,0.101066856
8168 Sum,,,,0.101066856
8169,7.31,0.09%,0.0021,0.0153371841
8169 Sum,,,,0.0153371841
8170,8.66,20.72%,0.0028,0.0192238144
8170 Sum,,,,0.0192238144
8171,1.05,16.29%,0.0019,0.0016700145
8171 Sum,,,,0.0016700145
8172,18.59,30.26%,0.0074,0.0959385284
8172 Sum,,,,0.0959385284
8173,17.8,5.37%,0.0044,0.074114216
8173 Sum,,,,0.074114216
8174,21.57,20.74%,0.0044,0.0752240808
8174 Sum,,,,0.0752240808
8175,3.02,11.00%,0.003,0.0080634
8175 Sum,,,,0.0080634
8176,8.12,12.93%,0.0035,0.024745294
8176 Sum,,,,0.024745294
8177,0.49,18.27%,0.001,0.000400477
8177 Sum,,,,0.000400477
8178,22.5,1.88%,0.0025,0.0551925
8178 Sum,,,,0.0551925
8179,7.29,18.80%,0.0099,0.058602852
8179 Sum,,,,0.058602852
8180,10.12,6.80%,0.0052,0.049045568
8180 Sum,,,,0.049045568
8181,11.92,21.45%,0.0033,0.030898428
8181 Sum,,,,0.030898428
8182,6.37,6.77%,0.0062,0.0368202562
8182 Sum,,,,0.0368202562
8183,23.59,27.50%,0.0023,0.039336325
8183 Sum,,,,0.039336325
8184,12.29,16.90%,0.0009,0.009191691
8184 Sum,,,,0.009191691
8185,20.67,22.26%,0.0097,0.1558679226
8185 Sum,,,,0.1558679226
8186,5.02,26.51%,0.0025,0.009222995
8186 Sum,,,,0.009222995
8187,4.89,3.25%,0.0027,0.0127739025
8187 Sum,,,,0.0127739025
8188,21.48,6.23%,0.0011,0.0221559756
8188 Sum,,,,0.0221559756
8189,17.41,12.32%,0.0063,0.0961700544
8189 Sum,,,,0.0961700544
8190,0.49,10.93%,0.0009,0.0003927987
8190 Sum,,,,0.0003927987
8191,23.36,37.62%,0.0087,0.1267761216
8191 Sum,,,,0.1267761216
8192,13.13,1.26%,0.0007,0.0090751934
8192 Sum,,,,0.0090751934
8193,8.72,1.56%,0.0011,0.0094423648
8193 Sum,,,,0.0094423648
8194,7.65,8.29%,0.0078,0.054723357
8194 Sum,,,,0.054723357
8195,9.74,8.59%,0.0033,0.0293810022
8195 Sum,,,,0.0293810022
8196,3.22,18.59%,0.0086,0.0225440572
8196 Sum,,,,0.0225440572
8197,5.01,37.37%,0.0021,0.0065893023
8197 Sum,,,,0.0065893023
8198,16.55,20.30%,0.0033,0.043528155
8198 Sum,,,,0.043528155
8199,6.99,23.47%,0.0004,0.0021397788
8199 Sum,,,,0.0021397788
8200,22.84,26.40%,0.001,0.01681024
8200 Sum,,,,0.01681024
8201,3.19,32.60%,0.0023,0.004945138
8201 Sum,,,,0.004945138
8202,4.89,9.02%,0.0011,0.0048938142
8202 Sum,,,,0.0048938142
8203,13.57,18.93%,0.0078,0.0858093522
8203 Sum,,,,0.0858093522
8204,22.23,4.59%,0.0007,0.0148467501
8204 Sum,,,,0.0148467501
8205,24.16,13.46%,0.0098,0.2048990272
8205 Sum,,,,0.2048990272
8206,5.55,24.08%,0.0093,0.039186108
8206 Sum,,,,0.039186108
8207,7.52,19.81%,0.0053,0.0319605264
8207 Sum,,,,0.0319605264
8208,12.13,39.45%,0.009,0.066102435
8208 Sum,,,,0.066102435
8209,24.31,32.91%,0.0099,0.1614648321
8209 Sum,,,,0.1614648321
8210,18.83,5.26%,0.0074,0.1320126108
8210 Sum,,,,0.1320126108
8211,18.8,34.50%,0.0066,0.0812724
8211 Sum,,,,0.0812724
8212,12.76,14.80%,0.0076,0.082623552
8212 Sum,,,,0.082623552
8213,5.69,3.50%,0.0048,0.02635608
8213 Sum,,,,0.02635608
8214,5.67,34.45%,0.0041,0.0152384085
8214 Sum,,,,0.0152384085
8215,15.54,32.88%,0.0086,0.0897018528
8215 Sum,,,,0.0897018528
8216,0.78,11.07%,0.0023,0.0015954042
8216 Sum,,,,0.0015954042
8217,7.6,4.25%,0.0044,0.0320188
8217 Sum,,,,0.0320188
8218,21.82,3.96%,0.0013,0.0272427064
8218 Sum,,,,0.0272427064
8219,3.64,9.38%,0.0001,0.0003298568
8219 Sum,,,,0.0003298568
8220,22.62,35.50%,0.0099,0.14444001
8220 Sum,,,,0.14444001
8221,8.31,11.86%,0.0016,0.0117190944
8221 Sum,,,,0.0117190944
8222,15.33,39.26%,0.0073,0.0679735266
8222 Sum,,,,0.0679735266
8223,4.04,24.30%,0.0071,0.021713788
8223 Sum,,,,0.021713788
8224,18.99,21.66%,0.0052,0.0773591832
8224 Sum,,,,0.0773591832
8225,12.19,21.33%,0.0019,0.0182207587
8225 Sum,,,,0.0182207587
8226,9.08,18.86%,0.0061,0.0449418232
8226 Sum,,,,0.0449418232
8227,12.6,25.01%,0.0064,0.060471936
8227 Sum,,,,0.060471936
8228,4.71,38.56%,0.0072,0.0208355328
8228 Sum,,,,0.0208355328
8229,5.38,24.54%,0.0001,0.0004059748
8229 Sum,,,,0.0004059748
8230,10.89,29.79%,0.0079,0.0604023651
8230 Sum,,,,0.0604023651
8231,2.48,21.37%,0.0027,0.0052650648
8231 Sum,,,,0.0052650648
8232,2.31,4.69%,0.0055,0.0121091355
8232 Sum,,,,0.0121091355
8233,23.03,20.92%,0.007,0.127484868
8233 Sum,,,,0.127484868
8234,22.63,7.60%,0.0037,0.077367444
8234 Sum,,,,0.077367444
8235,19.23,16.52%,0.0036,0.0577915344
8235 Sum,,,,0.0577915344
8236,8.52,24.59%,0.008,0.051399456
8236 Sum,,,,0.051399456
8237,9.7,28.47%,0.008,0.05550728
8237 Sum,,,,0.05550728
8238,19.11,5.30%,0.0045,0.081437265
8238 Sum,,,,0.081437265
8239,8.95,19.93%,0.01,0.07166265
8239 Sum,,,,0.07166265
8240,21.21,39.81%,0.0077,0.0983005023
8240 Sum,,,,0.0983005023
8241,4.25,38.68%,0.0056,0.01459416
8241 Sum,,,,0.01459416
8242,18.47,14.81%,0.0056,0.0881137208
8242 Sum,,,,0.0881137208
8243,7.99,1.30%,0.0007,0.005520291
8243 Sum,,,,0.005520291
8244,21.52,1.78%,0.0007,0.0147958608
8244 Sum,,,,0.0147958608
8245,23.42,38.56%,0.0027,0.0388509696
8245 Sum,,,,0.0388509696
8246,20.35,1.68%,0.0067,0.134054404
8246 Sum,,,,0.134054404
8247,22.09,23.94%,0.0057,0.0957694278
8247 Sum,,,,0.0957694278
8248,0.67,8.29%,0.0062,0.0038096334
8248 Sum,,,,0.0038096334
8249,5.25,7.85%,0.0061,0.0295110375
8249 Sum,,,,0.0295110375
8250,6.52,14.94%,0.0063,0.0349392456
8250 Sum,,,,0.0349392456
8251,23.21,0.79%,0.0053,0.1220411973
8251 Sum,,,,0.1220411973
8252,7.01,8.56%,0.0069,0.0442286136
8252 Sum,,,,0.0442286136
8253,0.44,25.02%,0.0045,0.001484604
8253 Sum,,,,0.001484604
8254,23.55,34.14%,0.0036,0.055836108
8254 Sum,,,,0.055836108
8255,19.2,11.31%,0.006,0.10217088
8255 Sum,,,,0.10217088
8256,19.91,6.41%,0.0059,0.1099392371
8256 Sum,,,,0.1099392371
8257,6.98,19.74%,0.0084,0.0470580432
8257 Sum,,,,0.0470580432
8258,13.68,20.44%,0.0065,0.070744752
8258 Sum,,,,0.070744752
8259,6.84,38.87%,0.0075,0.03135969
8259 Sum,,,,0.03135969
8260,17.7,14.97%,0.0013,0.019565403
8260 Sum,,,,0.019565403
8261,23.17,27.84%,0.0081,0.1354277232
8261 Sum,,,,0.1354277232
8262,15.59,1.07%,0.0086,0.1326394082
8262 Sum,,,,0.1326394082
8263,4.79,7.92%,0.0074,0.0326386768
8263 Sum,,,,0.0326386768
8264,8.62,34.56%,0.0096,0.0541529088
8264 Sum,,,,0.0541529088
8265,19.86,25.34%,0.0068,0.1008268368
8265 Sum,,,,0.1008268368
8266,18.48,9.31%,0.0081,0.1357520472
8266 Sum,,,,0.1357520472
8267,6.31,30.11%,0.0067,0.0295473953
8267 Sum,,,,0.0295473953
8268,5.48,12.07%,0.0007,0.0033729948
8268 Sum,,,,0.0033729948
8269,15.09,27.72%,0.0064,0.0698051328
8269 Sum,,,,0.0698051328
8270,0.21,27.06%,0.0019,0.0002910306
8270 Sum,,,,0.0002910306
8271,13.72,11.05%,0.0033,0.040273002
8271 Sum,,,,0.040273002
8272,5.93,29.81%,0.0044,0.0183139748
8272 Sum,,,,0.0183139748
8273,18.15,36.24%,0.0022,0.025459368
8273 Sum,,,,0.025459368
8274,11.03,10.54%,0.0039,0.0384830082
8274 Sum,,,,0.0384830082
8275,2.36,6.96%,0.0081,0.0177855264
8275 Sum,,,,0.0177855264
8276,21.26,1.74%,0.0021,0.0438691596
8276 Sum,,,,0.0438691596
8277,7.57,32.65%,0.0004,0.002039358
8277 Sum,,,,0.002039358
8278,12.28,9.27%,0.0046,0.0512515624
8278 Sum,,,,0.0512515624
8279,2.56,18.07%,0.0011,0.0023071488
8279 Sum,,,,0.0023071488
8280,15.19,28.10%,0.0004,0.004368644
8280 Sum,,,,0.004368644
8281,24.7,19.99%,0.0041,0.081026127
8281 Sum,,,,0.081026127
8282,15.45,1.74%,0.009,0.13663053
8282 Sum,,,,0.13663053
8283,21.21,25.76%,0.0053,0.0834554112
8283 Sum,,,,0.0834554112
8284,19.36,20.04%,0.003,0.046440768
8284 Sum,,,,0.046440768
8285,22.97,12.91%,0.0017,0.0340077741
8285 Sum,,,,0.0340077741
8286,19.06,20.30%,0.0099,0.150389118
8286 Sum,,,,0.150389118
8287,4.02,15.15%,0.0031,0.010574007
8287 Sum,,,,0.010574007
8288,9.86,11.60%,0.0069,0.060142056
8288 Sum,,,,0.060142056
8289,1.22,25.87%,0.0059,0.0053358774
8289 Sum,,,,0.0053358774
8290,20.79,3.76%,0.0099,0.1980821304
8290 Sum,,,,0.1980821304
8291,12.07,2.51%,0.0013,0.0152971559
8291 Sum,,,,0.0152971559
8292,10.2,27.76%,0.0046,0.033895008
8292 Sum,,,,0.033895008
8293,1.02,24.14%,0.0006,0.0004642632
8293 Sum,,,,0.0004642632
8294,7,21.86%,0.0052,0.02844296
8294 Sum,,,,0.02844296
8295,12.3,10.84%,0.0097,0.106376796
8295 Sum,,,,0.106376796
8296,11.69,11.11%,0.0037,0.0384475917
8296 Sum,,,,0.0384475917
8297,9.99,16.31%,0.0087,0.0727374897
8297 Sum,,,,0.0727374897
8298,0.36,2.36%,0.0034,0.0011951136
8298 Sum,,,,0.0011951136
8299,20.43,37.37%,0.0095,0.1215554355
8299 Sum,,,,0.1215554355
8300,2.64,39.52%,0.0088,0.0140507136
8300 Sum,,,,0.0140507136
8301,20.45,7.78%,0.0054,0.101838546
8301 Sum,,,,0.101838546
8302,7.27,39.31%,0.0066,0.0291202758
8302 Sum,,,,0.0291202758
8303,19.26,11.40%,0.0098,0.167230728
8303 Sum,,,,0.167230728
8304,1.74,14.62%,0.003,0.004456836
8304 Sum,,,,0.004456836
8305,18.62,18.83%,0.0072,0.1088197488
8305 Sum,,,,0.1088197488
8306,0.8,15.49%,0.0097,0.006557976
8306 Sum,,,,0.006557976
8307,5.32,6.87%,0.0081,0.0401315796
8307 Sum,,,,0.0401315796
8308,4.41,35.56%,0.0091,0.0258604164
8308 Sum,,,,0.0258604164
8309,10.86,4.92%,0.0092,0.0949963296
8309 Sum,,,,0.0949963296
8310,12.63,12.27%,0.0097,0.1074789003
8310 Sum,,,,0.1074789003
8311,13.99,6.45%,0.0059,0.0772171055
8311 Sum,,,,0.0772171055
8312,2.67,2.88%,0.0058,0.0150400032
8312 Sum,,,,0.0150400032
8313,2.2,12.61%,0.0019,0.003652902
8313 Sum,,,,0.003652902
8314,21.58,7.11%,0.0035,0.070159817
8314 Sum,,,,0.070159817
8315,0.68,16.28%,0.0007,0.0003985072
8315 Sum,,,,0.0003985072
8316,12.73,37.18%,0.0088,0.0703734768
8316 Sum,,,,0.0703734768
8317,10.28,24.97%,0.0027,0.0208253268
8317 Sum,,,,0.0208253268
8318,7.56,24.11%,0.0035,0.020080494
8318 Sum,,,,0.020080494
8319,11.09,5.33%,0.001,0.010498903
8319 Sum,,,,0.010498903
8320,9.46,7.33%,0.0033,0.0289297206
8320 Sum,,,,0.0289297206
8321,6.32,27.59%,0.0001,0.0004576312
8321 Sum,,,,0.0004576312
8322,22.99,15.94%,0.0027,0.0521785638
8322 Sum,,,,0.0521785638
8323,18.97,0.48%,0.0033,0.0623005152
8323 Sum,,,,0.0623005152
8324,8.52,31.59%,0.003,0.017485596
8324 Sum,,,,0.017485596
8325,3.06,16.27%,0.0047,0.0120420486
8325 Sum,,,,0.0120420486
8326,6.55,23.45%,0.0024,0.01203366
8326 Sum,,,,0.01203366
8327,15.18,24.09%,0.0054,0.0622249452
8327 Sum,,,,0.0622249452
8328,4.21,35.10%,0.0004,0.001092916
8328 Sum,,,,0.001092916
8329,19.12,36.02%,0.0071,0.0868541296
8329 Sum,,,,0.0868541296
8330,19.45,0.61%,0.0023,0.0444621165
8330 Sum,,,,0.0444621165
8331,14.26,19.08%,0.0091,0.1050066472
8331 Sum,,,,0.1050066472
8332,13.66,22.58%,0.0066,0.0697987752
8332 Sum,,,,0.0697987752
8333,21.39,20.63%,0.005,0.084886215
8333 Sum,,,,0.084886215
8334,10.5,16.57%,0.0039,0.034164585
8334 Sum,,,,0.034164585
8335,17.08,0.82%,0.0019,0.0321858936
8335 Sum,,,,0.0321858936
8336,0.1,25.51%,0.008,0.00059592
8336 Sum,,,,0.00059592
8337,0.27,34.61%,0.0006,0.0001059318
8337 Sum,,,,0.0001059318
8338,9.23,9.94%,0.0098,0.0814628724
8338 Sum,,,,0.0814628724
8339,12.65,20.68%,0.0019,0.019064562
8339 Sum,,,,0.019064562
8340,15.07,8.52%,0.0003,0.0041358108
8340 Sum,,,,0.0041358108
8341,22.14,4.40%,0.0049,0.103712616
8341 Sum,,,,0.103712616
8342,21.34,7.04%,0.0032,0.0634805248
8342 Sum,,,,0.0634805248
8343,23.6,20.96%,0.0055,0.10259392
8343 Sum,,,,0.10259392
8344,13.37,25.87%,0.001,0.009911181
8344 Sum,,,,0.009911181
8345,2.69,3.67%,0.003,0.007773831
8345 Sum,,,,0.007773831
8346,4.91,34.66%,0.0095,0.030477843
8346 Sum,,,,0.030477843
8347,15.43,36.34%,0.0024,0.0235745712
8347 Sum,,,,0.0235745712
8348,24.32,16.25%,0.0092,0.1873856
8348 Sum,,,,0.1873856
8349,11.71,8.43%,0.0054,0.0579033738
8349 Sum,,,,0.0579033738
8350,2.23,33.96%,0.0049,0.0072161908
8350 Sum,,,,0.0072161908
8351,5.87,8.05%,0.003,0.016192395
8351 Sum,,,,0.016192395
8352,1.31,24.47%,0.0013,0.0012862759
8352 Sum,,,,0.0012862759
8353,2.24,13.96%,0.0044,0.0084801024
8353 Sum,,,,0.0084801024
8354,8.44,0.71%,0.0037,0.0310062812
8354 Sum,,,,0.0310062812
8355,6.49,35.62%,0.0092,0.0384400104
8355 Sum,,,,0.0384400104
8356,21.29,21.34%,0.0004,0.0066986856
8356 Sum,,,,0.0066986856
8357,21.48,25.24%,0.0039,0.0626279472
8357 Sum,,,,0.0626279472
8358,14.25,36.53%,0.0006,0.005426685
8358 Sum,,,,0.005426685
8359,11.77,34.46%,0.0027,0.0208279566
8359 Sum,,,,0.0208279566
8360,14.12,26.56%,0.0027,0.0279982656
8360 Sum,,,,0.0279982656
8361,23.9,38.50%,0.0084,0.1234674
8361 Sum,,,,0.1234674
8362,20.5,39.18%,0.0015,0.01870215
8362 Sum,,,,0.01870215
8363,3.11,25.74%,0.0091,0.0210163226
8363 Sum,,,,0.0210163226
8364,1.72,0.85%,0.0086,0.014666268
8364 Sum,,,,0.014666268
8365,22.61,30.10%,0.0041,0.064797999
8365 Sum,,,,0.064797999
8366,8.7,28.81%,0.0073,0.045212769
8366 Sum,,,,0.045212769
8367,12.38,15.93%,0.0055,0.057243263
8367 Sum,,,,0.057243263
8368,9.96,33.19%,0.0013,0.0086505588
8368 Sum,,,,0.0086505588
8369,1.84,32.26%,0.0037,0.0046117392
8369 Sum,,,,0.0046117392
8370,13.79,17.70%,0.0036,0.040857012
8370 Sum,,,,0.040857012
8371,5.48,36.86%,0.0019,0.0065741368
8371 Sum,,,,0.0065741368
8372,7.24,1.60%,0.0057,0.040607712
8372 Sum,,,,0.040607712
8373,22.39,0.33%,0.0006,0.0133896678
8373 Sum,,,,0.0133896678
8374,23.29,18.61%,0.0039,0.0739273509
8374 Sum,,,,0.0739273509
8375,21.67,31.67%,0.0019,0.0281335109
8375 Sum,,,,0.0281335109
8376,23.69,3.58%,0.0053,0.1210620594
8376 Sum,,,,0.1210620594
8377,6.28,16.82%,0.002,0.010447408
8377 Sum,,,,0.010447408
8378,5.87,9.24%,0.0004,0.0021310448
8378 Sum,,,,0.0021310448
8379,10.45,25.01%,0.0031,0.0242930105
8379 Sum,,,,0.0242930105
8380,16.85,9.43%,0.0081,0.1236144645
8380 Sum,,,,0.1236144645
8381,22.48,24.67%,0.0061,0.1032985224
8381 Sum,,,,0.1032985224
8382,15.54,36.53%,0.0029,0.0286033902
8382 Sum,,,,0.0286033902
8383,24.36,18.60%,0.002,0.03965808
8383 Sum,,,,0.03965808
8384,0.24,16.12%,0.0022,0.0004428864
8384 Sum,,,,0.0004428864
8385,19.9,20.89%,0.0031,0.048802959
8385 Sum,,,,0.048802959
8386,6.21,10.21%,0.0037,0.0206310483
8386 Sum,,,,0.0206310483
8387,15.71,36.73%,0.0021,0.0208734057
8387 Sum,,,,0.0208734057
8388,18.97,25.07%,0.0073,0.1037638133
8388 Sum,,,,0.1037638133
8389,2.67,6.07%,0.007,0.017555517
8389 Sum,,,,0.017555517
8390,18.4,30.87%,0.0086,0.109391312
8390 Sum,,,,0.109391312
8391,21.55,5.95%,0.0085,0.1722760875
8391 Sum,,,,0.1722760875
8392,15.72,16.79%,0.0051,0.0667111212
8392 Sum,,,,0.0667111212
8393,9.72,38.78%,0.0024,0.0142814016
8393 Sum,,,,0.0142814016
8394,15.73,15.94%,0.0071,0.0938807298
8394 Sum,,,,0.0938807298
8395,12.18,4.94%,0.0089,0.1030469412
8395 Sum,,,,0.1030469412
8396,17.24,34.40%,0.0077,0.087082688
8396 Sum,,,,0.087082688
8397,20.97,12.57%,0.0063,0.1155046473
8397 Sum,,,,0.1155046473
8398,4.16,28.65%,0.0057,0.016918512
8398 Sum,,,,0.016918512
8399,11.11,37.97%,0.0026,0.0179179858
8399 Sum,,,,0.0179179858
8400,1.36,29.65%,0.0062,0.005931912
8400 Sum,,,,0.005931912
8401,21.37,14.31%,0.0034,0.0622606402
8401 Sum,,,,0.0622606402
8402,5.8,27.53%,0.0048,0.020175648
8402 Sum,,,,0.020175648
8403,21.37,30.76%,0.0079,0.1168930452
8403 Sum,,,,0.1168930452
8404,7.88,31.40%,0.0097,0.052435096
8404 Sum,,,,0.052435096
8405,23.1,22.34%,0.0079,0.141721734
8405 Sum,,,,0.141721734
